lesion_id,image_id,num_images
HAM_0003602,"['ISIC_0033980', 'ISIC_0032533', 'ISIC_0033986', 'ISIC_0033004']",4
HAM_0003700,"['ISIC_0033300', 'ISIC_0033616', 'ISIC_0029606', 'ISIC_0033099']",4
HAM_0003847,"['ISIC_0030661', 'ISIC_0027053', 'ISIC_0028560', 'ISIC_0031650']",4
HAM_0004443,"['ISIC_0030945', 'ISIC_0028758', 'ISIC_0031131', 'ISIC_0031473']",4
HAM_0004621,"['ISIC_0025818', 'ISIC_0030746', 'ISIC_0028122', 'ISIC_0027675']",4
HAM_0005496,"['ISIC_0032772', 'ISIC_0034041', 'ISIC_0033598', 'ISIC_0034021']",4
HAM_0005712,"['ISIC_0026451', 'ISIC_0032385', 'ISIC_0029970', 'ISIC_0025101']",4
HAM_0005755,"['ISIC_0026226', 'ISIC_0028174', 'ISIC_0024566', 'ISIC_0025112']",4
HAM_0006469,"['ISIC_0024479', 'ISIC_0032328', 'ISIC_0026358', 'ISIC_0025193']",4
HAM_0006946,"['ISIC_0032614', 'ISIC_0033349', 'ISIC_0032919', 'ISIC_0032866']",4
HAM_0007014,"['ISIC_0027498', 'ISIC_0027798', 'ISIC_0028141', 'ISIC_0032310']",4
HAM_0007349,"['ISIC_0026178', 'ISIC_0032014', 'ISIC_0027184', 'ISIC_0029462']",4
HAM_0007385,"['ISIC_0030933', 'ISIC_0025043', 'ISIC_0029277', 'ISIC_0030920']",4
HAM_0007558,"['ISIC_0033120', 'ISIC_0034211', 'ISIC_0028410', 'ISIC_0033545']",4
HAM_0000002,"['ISIC_0033848', 'ISIC_0032622', 'ISIC_0034246']",3
HAM_0000006,"['ISIC_0032583', 'ISIC_0034162', 'ISIC_0032187']",3
HAM_0000009,"['ISIC_0029201', 'ISIC_0026439', 'ISIC_0029779']",3
HAM_0000014,"['ISIC_0025759', 'ISIC_0031366', 'ISIC_0025640']",3
HAM_0000025,"['ISIC_0024349', 'ISIC_0026126', 'ISIC_0028271']",3
HAM_0000042,"['ISIC_0034048', 'ISIC_0033905', 'ISIC_0033981']",3
HAM_0000064,"['ISIC_0032603', 'ISIC_0033871', 'ISIC_0032955']",3
HAM_0000097,"['ISIC_0034262', 'ISIC_0033103', 'ISIC_0034106']",3
HAM_0000125,"['ISIC_0028777', 'ISIC_0027964', 'ISIC_0032372']",3
HAM_0000176,"['ISIC_0032862', 'ISIC_0033073', 'ISIC_0033696']",3
HAM_0000179,"['ISIC_0034046', 'ISIC_0032550', 'ISIC_0033700']",3
HAM_0000182,"['ISIC_0030116', 'ISIC_0026270', 'ISIC_0025096']",3
HAM_0000188,"['ISIC_0027020', 'ISIC_0028390', 'ISIC_0029199']",3
HAM_0000204,"['ISIC_0026825', 'ISIC_0027639', 'ISIC_0031314']",3
HAM_0000208,"['ISIC_0032681', 'ISIC_0033509', 'ISIC_0032694']",3
HAM_0000216,"['ISIC_0033936', 'ISIC_0034121', 'ISIC_0034232']",3
HAM_0000259,"['ISIC_0028550', 'ISIC_0024477', 'ISIC_0026493']",3
HAM_0000268,"['ISIC_0034110', 'ISIC_0025160', 'ISIC_0033389']",3
HAM_0000275,"['ISIC_0029382', 'ISIC_0030093', 'ISIC_0028645']",3
HAM_0000291,"['ISIC_0028263', 'ISIC_0028610', 'ISIC_0031360']",3
HAM_0000304,"['ISIC_0033276', 'ISIC_0034083', 'ISIC_0033316']",3
HAM_0000313,"['ISIC_0033292', 'ISIC_0033610', 'ISIC_0033100']",3
HAM_0000321,"['ISIC_0032733', 'ISIC_0033183', 'ISIC_0032564']",3
HAM_0000383,"['ISIC_0029678', 'ISIC_0024612', 'ISIC_0031707']",3
HAM_0000388,"['ISIC_0033819', 'ISIC_0032544', 'ISIC_0032844']",3
HAM_0000391,"['ISIC_0031857', 'ISIC_0028621', 'ISIC_0025683']",3
HAM_0000394,"['ISIC_0033579', 'ISIC_0034095', 'ISIC_0034143']",3
HAM_0000397,"['ISIC_0024538', 'ISIC_0029499', 'ISIC_0025208']",3
HAM_0000402,"['ISIC_0033837', 'ISIC_0032612', 'ISIC_0034039']",3
HAM_0000407,"['ISIC_0033712', 'ISIC_0032771', 'ISIC_0033297']",3
HAM_0000439,"['ISIC_0033729', 'ISIC_0034307', 'ISIC_0034137']",3
HAM_0000451,"['ISIC_0029123', 'ISIC_0029372', 'ISIC_0030782']",3
HAM_0000464,"['ISIC_0027537', 'ISIC_0027002', 'ISIC_0026223']",3
HAM_0000468,"['ISIC_0028591', 'ISIC_0024524', 'ISIC_0032663']",3
HAM_0000483,"['ISIC_0034141', 'ISIC_0033643', 'ISIC_0032629']",3
HAM_0000492,"['ISIC_0028445', 'ISIC_0027076', 'ISIC_0029859']",3
HAM_0000494,"['ISIC_0032745', 'ISIC_0032557', 'ISIC_0033092']",3
HAM_0000527,"['ISIC_0032757', 'ISIC_0032508', 'ISIC_0034201']",3
HAM_0000547,"['ISIC_0033510', 'ISIC_0033222', 'ISIC_0032546']",3
HAM_0000553,"['ISIC_0034061', 'ISIC_0032716', 'ISIC_0034159']",3
HAM_0000556,"['ISIC_0033484', 'ISIC_0033540', 'ISIC_0034279']",3
HAM_0000579,"['ISIC_0032742', 'ISIC_0032961', 'ISIC_0034112']",3
HAM_0000597,"['ISIC_0031621', 'ISIC_0031822', 'ISIC_0030654']",3
HAM_0000603,"['ISIC_0030742', 'ISIC_0028441', 'ISIC_0031374']",3
HAM_0000611,"['ISIC_0033804', 'ISIC_0033801', 'ISIC_0033216']",3
HAM_0000662,"['ISIC_0033317', 'ISIC_0034269', 'ISIC_0033956']",3
HAM_0000688,"['ISIC_0026720', 'ISIC_0030487', 'ISIC_0032238']",3
HAM_0000704,"['ISIC_0033823', 'ISIC_0032954', 'ISIC_0033371']",3
HAM_0000706,"['ISIC_0033668', 'ISIC_0032690', 'ISIC_0032918']",3
HAM_0000709,"['ISIC_0034006', 'ISIC_0033114', 'ISIC_0032559']",3
HAM_0000719,"['ISIC_0027915', 'ISIC_0026337', 'ISIC_0026902']",3
HAM_0000744,"['ISIC_0032230', 'ISIC_0029525', 'ISIC_0029474']",3
HAM_0000747,"['ISIC_0034319', 'ISIC_0033748', 'ISIC_0034044']",3
HAM_0000762,"['ISIC_0025667', 'ISIC_0028982', 'ISIC_0027137']",3
HAM_0000778,"['ISIC_0028602', 'ISIC_0031039', 'ISIC_0026665']",3
HAM_0000799,"['ISIC_0033611', 'ISIC_0033586', 'ISIC_0033226']",3
HAM_0000802,"['ISIC_0033437', 'ISIC_0033195', 'ISIC_0032553']",3
HAM_0000823,"['ISIC_0033271', 'ISIC_0033575', 'ISIC_0032894']",3
HAM_0000855,"['ISIC_0033897', 'ISIC_0033694', 'ISIC_0034013']",3
HAM_0000871,"['ISIC_0025964', 'ISIC_0030623', 'ISIC_0026506']",3
HAM_0000872,"['ISIC_0029323', 'ISIC_0031520', 'ISIC_0031171']",3
HAM_0000879,"['ISIC_0033203', 'ISIC_0033366', 'ISIC_0032816']",3
HAM_0000940,"['ISIC_0032692', 'ISIC_0033608', 'ISIC_0033969']",3
HAM_0000952,"['ISIC_0024546', 'ISIC_0026009', 'ISIC_0030689']",3
HAM_0000970,"['ISIC_0032574', 'ISIC_0033398', 'ISIC_0033244']",3
HAM_0000996,"['ISIC_0027122', 'ISIC_0031340', 'ISIC_0024793']",3
HAM_0001027,"['ISIC_0031839', 'ISIC_0026455', 'ISIC_0028265']",3
HAM_0001040,"['ISIC_0032781', 'ISIC_0033237', 'ISIC_0032747']",3
HAM_0001046,"['ISIC_0034146', 'ISIC_0033964', 'ISIC_0032951']",3
HAM_0001105,"['ISIC_0033387', 'ISIC_0025592', 'ISIC_0032552']",3
HAM_0001133,"['ISIC_0034179', 'ISIC_0034206', 'ISIC_0032980']",3
HAM_0001138,"['ISIC_0033020', 'ISIC_0032768', 'ISIC_0033205']",3
HAM_0001157,"['ISIC_0027423', 'ISIC_0030057', 'ISIC_0028737']",3
HAM_0001218,"['ISIC_0032864', 'ISIC_0033763', 'ISIC_0033650']",3
HAM_0001246,"['ISIC_0032822', 'ISIC_0033283', 'ISIC_0033359']",3
HAM_0001264,"['ISIC_0032838', 'ISIC_0034230', 'ISIC_0033057']",3
HAM_0001309,"['ISIC_0033629', 'ISIC_0034037', 'ISIC_0032876']",3
HAM_0001321,"['ISIC_0033385', 'ISIC_0033471', 'ISIC_0032831']",3
HAM_0001349,"['ISIC_0028225', 'ISIC_0032425', 'ISIC_0024351']",3
HAM_0001358,"['ISIC_0033170', 'ISIC_0032680', 'ISIC_0033674']",3
HAM_0001384,"['ISIC_0033397', 'ISIC_0033414', 'ISIC_0034113']",3
HAM_0001385,"['ISIC_0033280', 'ISIC_0033212', 'ISIC_0033770']",3
HAM_0001400,"['ISIC_0033059', 'ISIC_0033113', 'ISIC_0033547']",3
HAM_0001405,"['ISIC_0033033', 'ISIC_0033390', 'ISIC_0033836']",3
HAM_0001465,"['ISIC_0033209', 'ISIC_0034074', 'ISIC_0032699']",3
HAM_0001484,"['ISIC_0033370', 'ISIC_0033521', 'ISIC_0032623']",3
HAM_0001506,"['ISIC_0033061', 'ISIC_0033967', 'ISIC_0033051']",3
HAM_0001507,"['ISIC_0030179', 'ISIC_0029215', 'ISIC_0028362']",3
HAM_0001509,"['ISIC_0034295', 'ISIC_0033929', 'ISIC_0033044']",3
HAM_0001511,"['ISIC_0034060', 'ISIC_0033002', 'ISIC_0033683']",3
HAM_0001525,"['ISIC_0025662', 'ISIC_0027510', 'ISIC_0024355']",3
HAM_0001608,"['ISIC_0028792', 'ISIC_0029406', 'ISIC_0031980']",3
HAM_0001615,"['ISIC_0033348', 'ISIC_0033048', 'ISIC_0033870']",3
HAM_0001641,"['ISIC_0033427', 'ISIC_0033948', 'ISIC_0033680']",3
HAM_0001651,"['ISIC_0033251', 'ISIC_0033402', 'ISIC_0034204']",3
HAM_0001654,"['ISIC_0024472', 'ISIC_0031175', 'ISIC_0030755']",3
HAM_0001683,"['ISIC_0033517', 'ISIC_0033513', 'ISIC_0033649']",3
HAM_0001692,"['ISIC_0033172', 'ISIC_0033326', 'ISIC_0032743']",3
HAM_0001715,"['ISIC_0027208', 'ISIC_0032368', 'ISIC_0029504']",3
HAM_0001726,"['ISIC_0029281', 'ISIC_0024367', 'ISIC_0024700']",3
HAM_0001733,"['ISIC_0028414', 'ISIC_0031496', 'ISIC_0028931']",3
HAM_0001734,"['ISIC_0033496', 'ISIC_0032927', 'ISIC_0024865']",3
HAM_0001740,"['ISIC_0032761', 'ISIC_0033160', 'ISIC_0033930']",3
HAM_0001744,"['ISIC_0031339', 'ISIC_0032476', 'ISIC_0029353']",3
HAM_0001777,"['ISIC_0034084', 'ISIC_0033273', 'ISIC_0034176']",3
HAM_0001803,"['ISIC_0031742', 'ISIC_0026330', 'ISIC_0031567']",3
HAM_0001808,"['ISIC_0033318', 'ISIC_0032615', 'ISIC_0033862']",3
HAM_0001817,"['ISIC_0024938', 'ISIC_0030065', 'ISIC_0025231']",3
HAM_0001824,"['ISIC_0033121', 'ISIC_0034158', 'ISIC_0033213']",3
HAM_0001835,"['ISIC_0029995', 'ISIC_0027101', 'ISIC_0026652']",3
HAM_0001870,"['ISIC_0033351', 'ISIC_0033131', 'ISIC_0033090']",3
HAM_0001872,"['ISIC_0031290', 'ISIC_0029188', 'ISIC_0027800']",3
HAM_0001889,"['ISIC_0033621', 'ISIC_0034116', 'ISIC_0034073']",3
HAM_0001895,"['ISIC_0029938', 'ISIC_0024777', 'ISIC_0029196']",3
HAM_0001905,"['ISIC_0033634', 'ISIC_0034226', 'ISIC_0033116']",3
HAM_0001928,"['ISIC_0033725', 'ISIC_0032537', 'ISIC_0033287']",3
HAM_0001930,"['ISIC_0032880', 'ISIC_0032600', 'ISIC_0032791']",3
HAM_0001935,"['ISIC_0033188', 'ISIC_0033067', 'ISIC_0032787']",3
HAM_0001948,"['ISIC_0033993', 'ISIC_0032926', 'ISIC_0033049']",3
HAM_0001994,"['ISIC_0033407', 'ISIC_0033734', 'ISIC_0033923']",3
HAM_0002009,"['ISIC_0034290', 'ISIC_0033165', 'ISIC_0033430']",3
HAM_0002015,"['ISIC_0033954', 'ISIC_0033771', 'ISIC_0034035']",3
HAM_0002016,"['ISIC_0034273', 'ISIC_0032805', 'ISIC_0032753']",3
HAM_0002025,"['ISIC_0025169', 'ISIC_0028091', 'ISIC_0028023']",3
HAM_0002030,"['ISIC_0034225', 'ISIC_0032916', 'ISIC_0033756']",3
HAM_0002040,"['ISIC_0033041', 'ISIC_0033900', 'ISIC_0033361']",3
HAM_0002136,"['ISIC_0033959', 'ISIC_0032914', 'ISIC_0033309']",3
HAM_0002170,"['ISIC_0034237', 'ISIC_0034032', 'ISIC_0033075']",3
HAM_0002208,"['ISIC_0033940', 'ISIC_0033818', 'ISIC_0034029']",3
HAM_0002235,"['ISIC_0034222', 'ISIC_0032569', 'ISIC_0034064']",3
HAM_0002243,"['ISIC_0033609', 'ISIC_0032777', 'ISIC_0033019']",3
HAM_0002253,"['ISIC_0033492', 'ISIC_0032548', 'ISIC_0033106']",3
HAM_0002271,"['ISIC_0027840', 'ISIC_0026048', 'ISIC_0031930']",3
HAM_0002300,"['ISIC_0028360', 'ISIC_0029861', 'ISIC_0024366']",3
HAM_0002313,"['ISIC_0024461', 'ISIC_0030526', 'ISIC_0025530']",3
HAM_0002327,"['ISIC_0033606', 'ISIC_0034103', 'ISIC_0032883']",3
HAM_0002342,"['ISIC_0033901', 'ISIC_0032917', 'ISIC_0032925']",3
HAM_0002346,"['ISIC_0027365', 'ISIC_0026343', 'ISIC_0029341']",3
HAM_0002363,"['ISIC_0033363', 'ISIC_0033058', 'ISIC_0032924']",3
HAM_0002367,"['ISIC_0033150', 'ISIC_0033698', 'ISIC_0034240']",3
HAM_0002372,"['ISIC_0034303', 'ISIC_0034031', 'ISIC_0033124']",3
HAM_0002386,"['ISIC_0033919', 'ISIC_0033640', 'ISIC_0033927']",3
HAM_0002391,"['ISIC_0027260', 'ISIC_0027604', 'ISIC_0029434']",3
HAM_0002423,"['ISIC_0031924', 'ISIC_0028963', 'ISIC_0025088']",3
HAM_0002430,"['ISIC_0032134', 'ISIC_0028114', 'ISIC_0027673']",3
HAM_0002431,"['ISIC_0033294', 'ISIC_0033030', 'ISIC_0032657']",3
HAM_0002434,"['ISIC_0033253', 'ISIC_0033974', 'ISIC_0033941']",3
HAM_0002448,"['ISIC_0034122', 'ISIC_0033281', 'ISIC_0033285']",3
HAM_0002501,"['ISIC_0033388', 'ISIC_0033009', 'ISIC_0032928']",3
HAM_0002502,"['ISIC_0034220', 'ISIC_0032973', 'ISIC_0033425']",3
HAM_0002519,"['ISIC_0033148', 'ISIC_0033109', 'ISIC_0032986']",3
HAM_0002534,"['ISIC_0024898', 'ISIC_0029538', 'ISIC_0027620']",3
HAM_0002552,"['ISIC_0032985', 'ISIC_0032936', 'ISIC_0033232']",3
HAM_0002574,"['ISIC_0032666', 'ISIC_0033157', 'ISIC_0032811']",3
HAM_0002613,"['ISIC_0030925', 'ISIC_0030604', 'ISIC_0024958']",3
HAM_0002615,"['ISIC_0033456', 'ISIC_0033494', 'ISIC_0033413']",3
HAM_0002617,"['ISIC_0033957', 'ISIC_0034172', 'ISIC_0033393']",3
HAM_0002628,"['ISIC_0030852', 'ISIC_0030652', 'ISIC_0031204']",3
HAM_0002641,"['ISIC_0034111', 'ISIC_0032676', 'ISIC_0034077']",3
HAM_0002645,"['ISIC_0024587', 'ISIC_0029666', 'ISIC_0027698']",3
HAM_0002661,"['ISIC_0025665', 'ISIC_0030597', 'ISIC_0026692']",3
HAM_0002664,"['ISIC_0033666', 'ISIC_0033218', 'ISIC_0033054']",3
HAM_0002671,"['ISIC_0033068', 'ISIC_0034218', 'ISIC_0034263']",3
HAM_0002675,"['ISIC_0029641', 'ISIC_0031014', 'ISIC_0024969']",3
HAM_0002721,"['ISIC_0032585', 'ISIC_0032899', 'ISIC_0034157']",3
HAM_0002722,"['ISIC_0027991', 'ISIC_0031289', 'ISIC_0030172']",3
HAM_0002732,"['ISIC_0034022', 'ISIC_0033017', 'ISIC_0033874']",3
HAM_0002750,"['ISIC_0034136', 'ISIC_0033386', 'ISIC_0033003']",3
HAM_0002809,"['ISIC_0026139', 'ISIC_0027967', 'ISIC_0024338']",3
HAM_0002841,"['ISIC_0032982', 'ISIC_0033196', 'ISIC_0032653']",3
HAM_0002867,"['ISIC_0033084', 'ISIC_0033550', 'ISIC_0033536']",3
HAM_0002898,"['ISIC_0033179', 'ISIC_0034251', 'ISIC_0033721']",3
HAM_0002909,"['ISIC_0032642', 'ISIC_0033790', 'ISIC_0033675']",3
HAM_0002915,"['ISIC_0034009', 'ISIC_0034305', 'ISIC_0034097']",3
HAM_0002923,"['ISIC_0033759', 'ISIC_0034144', 'ISIC_0032992']",3
HAM_0002959,"['ISIC_0027473', 'ISIC_0025362', 'ISIC_0027093']",3
HAM_0002993,"['ISIC_0034104', 'ISIC_0032547', 'ISIC_0033644']",3
HAM_0003046,"['ISIC_0033257', 'ISIC_0034276', 'ISIC_0034119']",3
HAM_0003073,"['ISIC_0032836', 'ISIC_0033444', 'ISIC_0034183']",3
HAM_0003081,"['ISIC_0033808', 'ISIC_0033847', 'ISIC_0033860']",3
HAM_0003097,"['ISIC_0033181', 'ISIC_0033661', 'ISIC_0034004']",3
HAM_0003110,"['ISIC_0026473', 'ISIC_0032114', 'ISIC_0026789']",3
HAM_0003113,"['ISIC_0025170', 'ISIC_0031811', 'ISIC_0024520']",3
HAM_0003127,"['ISIC_0026272', 'ISIC_0024658', 'ISIC_0028957']",3
HAM_0003137,"['ISIC_0033233', 'ISIC_0032770', 'ISIC_0034184']",3
HAM_0003140,"['ISIC_0027037', 'ISIC_0030459', 'ISIC_0029776']",3
HAM_0003143,"['ISIC_0033555', 'ISIC_0033963', 'ISIC_0033793']",3
HAM_0003181,"['ISIC_0033085', 'ISIC_0033976', 'ISIC_0034030']",3
HAM_0003193,"['ISIC_0032882', 'ISIC_0034078', 'ISIC_0032818']",3
HAM_0003225,"['ISIC_0033670', 'ISIC_0029740', 'ISIC_0033593']",3
HAM_0003259,"['ISIC_0033641', 'ISIC_0033527', 'ISIC_0032895']",3
HAM_0003280,"['ISIC_0033275', 'ISIC_0033938', 'ISIC_0032841']",3
HAM_0003288,"['ISIC_0032587', 'ISIC_0033824', 'ISIC_0033830']",3
HAM_0003290,"['ISIC_0030757', 'ISIC_0031358', 'ISIC_0031735']",3
HAM_0003305,"['ISIC_0027756', 'ISIC_0032125', 'ISIC_0025172']",3
HAM_0003345,"['ISIC_0032165', 'ISIC_0024718', 'ISIC_0024834']",3
HAM_0003346,"['ISIC_0032995', 'ISIC_0032754', 'ISIC_0032714']",3
HAM_0003350,"['ISIC_0027300', 'ISIC_0028512', 'ISIC_0024310']",3
HAM_0003352,"['ISIC_0032599', 'ISIC_0033472', 'ISIC_0032667']",3
HAM_0003386,"['ISIC_0033416', 'ISIC_0032662', 'ISIC_0033452']",3
HAM_0003400,"['ISIC_0026167', 'ISIC_0028984', 'ISIC_0032197']",3
HAM_0003415,"['ISIC_0029191', 'ISIC_0027789', 'ISIC_0028761']",3
HAM_0003418,"['ISIC_0033632', 'ISIC_0034025', 'ISIC_0033182']",3
HAM_0003421,"['ISIC_0033470', 'ISIC_0034094', 'ISIC_0033560']",3
HAM_0003424,"['ISIC_0033451', 'ISIC_0033552', 'ISIC_0034310']",3
HAM_0003430,"['ISIC_0027266', 'ISIC_0025271', 'ISIC_0027867']",3
HAM_0003441,"['ISIC_0034069', 'ISIC_0032673', 'ISIC_0033684']",3
HAM_0003444,"['ISIC_0030249', 'ISIC_0028687', 'ISIC_0027120']",3
HAM_0003447,"['ISIC_0033142', 'ISIC_0032703', 'ISIC_0033168']",3
HAM_0003480,"['ISIC_0031996', 'ISIC_0032890', 'ISIC_0033844']",3
HAM_0003505,"['ISIC_0033032', 'ISIC_0034227', 'ISIC_0033563']",3
HAM_0003506,"['ISIC_0033336', 'ISIC_0033405', 'ISIC_0034188']",3
HAM_0003507,"['ISIC_0032784', 'ISIC_0033459', 'ISIC_0032710']",3
HAM_0003512,"['ISIC_0034300', 'ISIC_0033155', 'ISIC_0032609']",3
HAM_0003535,"['ISIC_0033960', 'ISIC_0033259', 'ISIC_0033403']",3
HAM_0003542,"['ISIC_0033506', 'ISIC_0033600', 'ISIC_0033714']",3
HAM_0003556,"['ISIC_0033485', 'ISIC_0033175', 'ISIC_0033886']",3
HAM_0003558,"['ISIC_0025303', 'ISIC_0030129', 'ISIC_0026989']",3
HAM_0003566,"['ISIC_0032684', 'ISIC_0034052', 'ISIC_0033171']",3
HAM_0003590,"['ISIC_0032459', 'ISIC_0027262', 'ISIC_0024916']",3
HAM_0003605,"['ISIC_0026895', 'ISIC_0029841', 'ISIC_0029849']",3
HAM_0003606,"['ISIC_0034288', 'ISIC_0033420', 'ISIC_0032661']",3
HAM_0003614,"['ISIC_0032905', 'ISIC_0034001', 'ISIC_0032560']",3
HAM_0003625,"['ISIC_0032875', 'ISIC_0033802', 'ISIC_0033429']",3
HAM_0003634,"['ISIC_0033194', 'ISIC_0034258', 'ISIC_0034023']",3
HAM_0003679,"['ISIC_0032840', 'ISIC_0034313', 'ISIC_0033570']",3
HAM_0003713,"['ISIC_0032885', 'ISIC_0033291', 'ISIC_0034102']",3
HAM_0003735,"['ISIC_0032512', 'ISIC_0034149', 'ISIC_0033800']",3
HAM_0003743,"['ISIC_0033646', 'ISIC_0033592', 'ISIC_0033899']",3
HAM_0003744,"['ISIC_0033006', 'ISIC_0032518', 'ISIC_0033548']",3
HAM_0003767,"['ISIC_0024604', 'ISIC_0027358', 'ISIC_0030247']",3
HAM_0003770,"['ISIC_0032877', 'ISIC_0034175', 'ISIC_0033523']",3
HAM_0003782,"['ISIC_0027102', 'ISIC_0029744', 'ISIC_0031410']",3
HAM_0003801,"['ISIC_0033914', 'ISIC_0033978', 'ISIC_0033718']",3
HAM_0003803,"['ISIC_0033083', 'ISIC_0033133', 'ISIC_0033352']",3
HAM_0003824,"['ISIC_0033091', 'ISIC_0034138', 'ISIC_0032971']",3
HAM_0003826,"['ISIC_0027229', 'ISIC_0027004', 'ISIC_0026433']",3
HAM_0003828,"['ISIC_0031657', 'ISIC_0030077', 'ISIC_0029865']",3
HAM_0003833,"['ISIC_0026841', 'ISIC_0025945', 'ISIC_0031149']",3
HAM_0003862,"['ISIC_0033031', 'ISIC_0032775', 'ISIC_0033458']",3
HAM_0003874,"['ISIC_0026786', 'ISIC_0028578', 'ISIC_0024809']",3
HAM_0003884,"['ISIC_0033605', 'ISIC_0033961', 'ISIC_0033702']",3
HAM_0003887,"['ISIC_0033354', 'ISIC_0032857', 'ISIC_0032906']",3
HAM_0003919,"['ISIC_0024781', 'ISIC_0031011', 'ISIC_0032344']",3
HAM_0003927,"['ISIC_0032567', 'ISIC_0033088', 'ISIC_0032756']",3
HAM_0003932,"['ISIC_0029119', 'ISIC_0026151', 'ISIC_0032471']",3
HAM_0003943,"['ISIC_0031078', 'ISIC_0031464', 'ISIC_0025973']",3
HAM_0003947,"['ISIC_0032802', 'ISIC_0032551', 'ISIC_0033544']",3
HAM_0003951,"['ISIC_0025555', 'ISIC_0032242', 'ISIC_0024317']",3
HAM_0003958,"['ISIC_0029855', 'ISIC_0027360', 'ISIC_0029554']",3
HAM_0003966,"['ISIC_0032584', 'ISIC_0033731', 'ISIC_0032644']",3
HAM_0003968,"['ISIC_0033495', 'ISIC_0033161', 'ISIC_0032796']",3
HAM_0003983,"['ISIC_0033975', 'ISIC_0033278', 'ISIC_0033679']",3
HAM_0003993,"['ISIC_0033706', 'ISIC_0033097', 'ISIC_0034014']",3
HAM_0004000,"['ISIC_0032762', 'ISIC_0032594', 'ISIC_0033147']",3
HAM_0004007,"['ISIC_0031541', 'ISIC_0027596', 'ISIC_0028960']",3
HAM_0004036,"['ISIC_0027727', 'ISIC_0027107', 'ISIC_0027648']",3
HAM_0004038,"['ISIC_0032582', 'ISIC_0033052', 'ISIC_0032990']",3
HAM_0004043,"['ISIC_0033792', 'ISIC_0030492', 'ISIC_0033926']",3
HAM_0004068,"['ISIC_0032492', 'ISIC_0027853', 'ISIC_0028545']",3
